"","date","negative","positive","sentiment"
"129",2009-02-05,45,63,0.166666666666667
"130",2009-03-05,46,45,-0.010989010989011
"131",2009-04-02,49,44,-0.0537634408602151
"132",2009-05-07,58,55,-0.0265486725663717
"133",2009-06-04,50,73,0.186991869918699
"134",2009-07-02,50,73,0.186991869918699
"135",2009-08-06,48,63,0.135135135135135
"136",2009-09-03,38,92,0.415384615384615
"137",2009-10-08,35,76,0.369369369369369
"138",2009-11-05,38,83,0.371900826446281
"139",2009-12-03,36,82,0.389830508474576
"140",2010-01-14,43,64,0.196261682242991
"141",2010-02-04,32,61,0.311827956989247
"142",2010-03-04,38,63,0.247524752475248
"143",2010-04-08,38,57,0.2
"144",2010-05-06,41,70,0.261261261261261
"145",2010-06-10,37,61,0.244897959183673
"146",2010-07-08,41,56,0.154639175257732
"147",2010-08-05,40,58,0.183673469387755
"148",2010-09-02,29,58,0.333333333333333
"149",2010-10-07,24,54,0.384615384615385
"150",2010-11-04,22,53,0.413333333333333
"151",2010-12-02,25,62,0.425287356321839
"152",2011-01-13,22,63,0.482352941176471
"153",2011-02-03,23,50,0.36986301369863
"154",2011-03-03,28,68,0.416666666666667
"155",2011-04-07,30,62,0.347826086956522
"156",2011-05-05,30,70,0.4
"157",2011-06-09,27,59,0.372093023255814
"158",2011-07-07,25,52,0.350649350649351
"159",2011-08-04,29,67,0.395833333333333
"160",2011-09-08,28,44,0.222222222222222
"161",2011-10-06,31,62,0.333333333333333
"162",2011-11-03,34,42,0.105263157894737
"163",2011-12-08,31,50,0.234567901234568
"164",2012-01-12,29,59,0.340909090909091
"165",2012-02-09,30,27,-0.0526315789473684
"166",2012-03-08,23,38,0.245901639344262
"167",2012-04-04,26,33,0.11864406779661
"168",2012-05-03,23,45,0.323529411764706
"169",2012-06-06,25,27,0.0384615384615385
"170",2012-07-05,25,25,0
"171",2012-08-02,39,36,-0.04
"172",2012-09-06,35,43,0.102564102564103
"173",2012-10-04,35,43,0.102564102564103
"174",2012-11-08,24,42,0.272727272727273
"175",2012-12-06,32,43,0.146666666666667
"176",2013-01-10,28,43,0.211267605633803
"177",2013-02-07,29,41,0.171428571428571
"178",2013-03-07,28,50,0.282051282051282
"179",2013-04-04,26,40,0.212121212121212
"180",2013-05-02,29,42,0.183098591549296
"181",2013-06-06,32,45,0.168831168831169
"182",2013-07-04,31,41,0.138888888888889
"183",2013-08-01,32,36,0.0588235294117647
"184",2013-09-05,28,48,0.263157894736842
"185",2013-10-02,34,49,0.180722891566265
"186",2013-11-07,33,44,0.142857142857143
"187",2013-12-05,28,35,0.111111111111111
"188",2014-01-09,29,43,0.194444444444444
"189",2014-02-06,29,43,0.194444444444444
"190",2014-03-06,29,41,0.171428571428571
"191",2014-04-03,30,41,0.154929577464789
"192",2014-05-08,32,41,0.123287671232877
"193",2014-06-05,34,51,0.2
"194",2014-07-03,22,40,0.290322580645161
"195",2014-08-07,26,50,0.315789473684211
"196",2014-09-04,26,41,0.223880597014925
"197",2014-10-02,21,47,0.382352941176471
"198",2014-10-26,51,33,-0.214285714285714
